question,document
"For BigQuery LoadFromGcs, why is destinationTable correct while projectId, dataset, and table are not?",93a3e8b98c
What can I do to avoid getting wrong Kestra plugin properties from a generic AI assistant in the first place?,93a3e8b98c
Why do we need to track token usage in Kestra flows if the LLM call already works fine?,a4adc70f41
How does watching token counts help with controlling costs when a flow runs on a schedule or in a loop?,a4adc70f41
What’s the point of checking token usage for prompt tuning and output length?,a4adc70f41
Can token monitoring be used as a safety net so a long-running workflow doesn’t end up costing too much?,a4adc70f41
"Where do you usually get the token usage numbers from in a Kestra AI task, and how can you use them afterward?",a4adc70f41
Why am I getting the Docker Desktop error that says a mount path under /tmp is not shared from the host when I start Kestra?,dd8b4c9fda
How can I make Docker Desktop allow access to /tmp or /tmp/kestra-wd so the container can start properly?,dd8b4c9fda
Where in Docker Desktop do I add a host folder to the file sharing list to fix a mounts denied issue?,dd8b4c9fda
What steps should I follow in Docker Desktop after adding /tmp to shared paths so docker compose up works again?,dd8b4c9fda
Do I need to restart Docker Desktop after changing file sharing settings for the Kestra container mount error?,dd8b4c9fda
"In a Kestra flow, Gemini keeps failing with 404 NOT_FOUND for the model — should I just swap the model id, and if so which config file do I edit?",d51bbe2da0
What’s the fix when the course YAML uses a Gemini model that my account says is unavailable or returns 404?,d51bbe2da0
"Do I need to change the `modelName` in the Kestra provider block, or is there another setting to update in `docker-compose.yml` too?",d51bbe2da0
How can I tell whether a Gemini model is really gone forever versus just unavailable for my account right now?,d51bbe2da0
Where should I check for the current Gemini model ids before rerunning the flow?,d51bbe2da0
"For the Module 3 Kestra homework, what exactly should I upload to a public repo if I mostly worked in the Kestra UI?",f29f622684
"Do I need to submit the actual Kestra flow YAML files for homework, or is a README with my answers enough?",f29f622684
"If I changed any scripts that my Kestra flows use, should those go in the repo too, or only the flow definitions?",f29f622684
Where should I organize the Kestra homework files in the repository before I send the link in the submission form?,f29f622684
"When I submit Module 3, do I put my answers to Q1, Q2, etc. in the repo, or are those entered somewhere else?",f29f622684
Why do I get `JSONDecodeError: Expecting value` when I try to parse the LLM output with `json.loads()`?,a3c7e1b4f9
How can I make the model return strict JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What should I add to my prompt so the response is exactly a JSON object with a `questions` list?,a3c7e1b4f9
Is there a clean way to parse the model output without manually stripping markdown fences first?,a3c7e1b4f9
"Does this JSON-only output trick work only with OpenAI, or do other LLM providers have something similar too?",a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth data in the eval notebook?,b8f2d6a30c
What can I do if loading the embedding model with the notebook makes Codespaces run out of memory?,b8f2d6a30c
Is there a lighter embedding model I can use instead of the default one for this evaluation task?,b8f2d6a30c
Would it help to run the embedding part in a separate Python script and then import the saved vectors back into Jupyter?,b8f2d6a30c
How can I deal with memory issues when embedding the ground-truth set on a low-RAM laptop or default Codespaces machine?,b8f2d6a30c
Why does adding `time.sleep(4)` not stop me from getting rate-limited when I generate the ground-truth data with Gemini?,c1e9f4b820
What can I do if the free Gemini tier keeps hitting request limits while I’m building the eval set?,c1e9f4b820
"Is OpenAI’s cheap model a better option here, and which one would you use for this task?",c1e9f4b820
"Can I switch to Groq’s free tier for the dataset generation, and does it help with the rate limits?",c1e9f4b820
How should I handle thread-pool concurrency and saving progress so I don’t lose work when the API quota gets exhausted?,c1e9f4b820
Why does Module 4 jump from lesson 6 to lesson 11?,57c8d3a1e4
"Are some lessons missing in Module 4, or is the numbering split on purpose?",57c8d3a1e4
How should I understand the lesson filenames in Module 4?,57c8d3a1e4
Why does `06-search-tuning.md` come right before `11-evaluation-intro.md`?,57c8d3a1e4
"Is Module 4 divided into two parts, and what do the numbers mean?",57c8d3a1e4
How can MRR go up if Hit Rate doesn’t change at all?,8a5ece0688
Why would reranking or chunking improve MRR but leave Hit Rate unchanged?,8a5ece0688
"If my final Hit Rate and MRR are exactly the same, should I trust that result?",8a5ece0688
What should I check in the eval code if MRR and Hit Rate come out equal?,8a5ece0688
How can moving a relevant result from rank 5 to rank 1 affect MRR but not Hit Rate?,8a5ece0688
How do I fix the WinError 126 when Python can’t load torch\lib\fbgemm.dll on Windows?,15e931476c
My PyTorch install says the specified module could not be found for fbgemm.dll — what should I install?,15e931476c
"Is Visual Studio Code enough for this torch DLL error, or do I need the full Visual Studio and C++ runtime?",15e931476c
What’s the quickest way to resolve the fbgemm.dll missing dependency issue in Windows Python?,15e931476c
"I’m getting an OSError on Windows from torch\lib\fbgemm.dll, what are the usual fixes?",15e931476c
"I’m getting `could not translate host name ""postgres""` when I run `python prep.py`. What should I change in the `.env` file?",4b65d5542d
Why does `psycopg2.OperationalError` say it can’t find the host `postgres` when I start `prep.py`?,4b65d5542d
What’s the fix for the `No such host is known` error with Postgres in Module 5 monitoring?,4b65d5542d
Should `POSTGRES_HOST` be `postgres` or `localhost` for `prep.py` to work?,4b65d5542d
How do I update my environment settings so `python prep.py` connects to Postgres without the host name error?,4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off with ...?,641aedbbf5
"In the offline-rag-evaluation notebook, how do I see the complete Explanation cell from the LLM judge output?",641aedbbf5
Is there a Pandas setting to stop column text from being truncated at 50 characters?,641aedbbf5
What line of code do I need to display the whole content of a long text column in Pandas?,641aedbbf5
How do I change Pandas so a column can show unlimited character width?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s a simple way to normalize a Pandas Series of vectors with NumPy?,5039707c1a
Can I use apply() to normalize each vector in a DataFrame column?,5039707c1a
How do I divide each vector by its norm in pandas?,5039707c1a
Is there a short lambda example for normalizing vectors in a DataFrame column?,5039707c1a
How do I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find a column’s percentile value in Pandas?,b4c8ac5a0c
Is there a simple method to compute quantiles for a DataFrame column in Pandas?,b4c8ac5a0c
How do I extract the 75% quantile from df['col']?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the running ones?",66ccbb7da0
What's the command to force remove all Docker images at once?,66ccbb7da0
How can I clear out every Docker volume using one terminal command?,66ccbb7da0
"Is there a quick way to wipe all containers, images, and volumes in Docker?",66ccbb7da0
"What terminal commands should I use to fully clean Docker by removing containers, images, and volumes?",66ccbb7da0
How can I make sure a user can only leave one feedback vote per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to True after I click +1 or -1?,2e729f1271
What's the best way to disable the feedback buttons after the ask button submits text?,2e729f1271
I’m using Streamlit session state and my submitted flag gets reassigned unexpectedly — how do I fix that?,2e729f1271
Is there a known solution for the Streamlit session attributes issue when tracking one-time feedback per submission?,2e729f1271
How can I make RAGWithMetrics work with Gemini or another Chat Completions provider instead of OpenAI Responses?,01517c80df
Which parts of RAGWithMetrics do I need to change for an OpenAI-compatible chat endpoint?,01517c80df
Where do I read the answer text and token usage when the model returns chat completions?,01517c80df
Do I need to keep LLMCallRecord and RAGBase if I switch providers?,01517c80df
"Why does the example set cost to 0.0, and how should I handle pricing for a different LLM provider?",01517c80df
"Why does docker-compose say `streamlit` is not found in $PATH, even though the app works outside Docker?",e8df9f0d12
What do I need to add so my Streamlit app starts correctly with docker-compose?,e8df9f0d12
Do I have to create a Dockerfile before running a Streamlit app in docker-compose?,e8df9f0d12
"How can I fix the `exec: ""streamlit"": executable file not found` error when launching the container?",e8df9f0d12
"After changing the compose setup, what command should I run to rebuild and start the app again?",e8df9f0d12
"Is the capstone project something we do together in a group, or is it supposed to be individual?",0fab61eca2
Can two or more students share one project idea and still submit it separately for the capstone?,0fab61eca2
"If we build one system as a team, do we each need our own repo and separate part to pass the project requirement?",0fab61eca2
What happens if the project can't be judged independently for each student?,0fab61eca2
"Am I allowed to discuss or collaborate on a bigger idea with classmates, even though the final submission has to be my own?",0fab61eca2
"Do I have to submit two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
Can I still submit in attempt 2 if I miss the first submission window?,d5fc98925d
"If I decide to submit two projects, do they need to be on different datasets and different problem statements?",d5fc98925d
"Does the competition count toward the capstone project, or is it separate?",e892d44e42
Can I use the math-kaggle-llm competition as my capstone submission?,e892d44e42
"Is the capstone in this course supposed to be done alone, or can we team up?",e892d44e42
"If I join the math-kaggle-llm competition with a group, does that satisfy the capstone requirement?",e892d44e42
What's the difference between the competition and the capstone project in terms of group work?,e892d44e42
How will the capstone project be graded in the course?,9a2e2d2008
Who checks the capstone submission and how many reviewers are there?,9a2e2d2008
Do I need to review other students’ capstone projects too?,9a2e2d2008
What happens if I don’t grade the required number of peer projects?,9a2e2d2008
Is the final capstone score based on an average or something else?,9a2e2d2008
"After the project submission deadline, how are the review assignments handed out?",eae0fb50aa
"Will each student get multiple projects to grade, and if so, how many?",eae0fb50aa
Do we receive the grading list before or after submissions close?,eae0fb50aa
What’s the process for assigning projects to participants once the deadline is over?,eae0fb50aa
How many capstone projects will be assigned to each person for review?,eae0fb50aa
I already sent in my project — why don’t I see anything to review yet?,a8a7fef016
"After the deadline, how do project reviews get assigned to us?",a8a7fef016
Can I pick which submissions I want to evaluate in the capstone project?,a8a7fef016
Is there a way to start reviewing projects before the evaluation list is out?,a8a7fef016
"My submission is done, but the review page is empty — is that normal?",a8a7fef016
Where can I look for project ideas and possible datasets?,e76a70cde3
Is there a page with examples of datasets I can use for the capstone project?,e76a70cde3
I need some inspiration for the final project — where should I start?,e76a70cde3
Can you point me to any guidelines plus dataset ideas for the project?,e76a70cde3
What’s the best place to find a few project ideas and data sources for this capstone?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a regular Python script enough?",d4f7c08ea1
"If I build the ingestion pipeline in a Jupyter notebook instead of a Python script, do I still get full points?",d4f7c08ea1
When is it worth adding an orchestrator to the capstone project instead of just using plain Python?,d4f7c08ea1
Can I earn the ingestion pipeline points without using any workflow tool at all?,d4f7c08ea1
Is it a bad idea to include an orchestrator just to satisfy the project rubric?,d4f7c08ea1
How can I evaluate a recommender-style RAG system when I don't have any clear ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create test data for a ranking-based RAG project if my dataset only has item descriptions?,9b0e2d6a47
Is there a method to measure retrieval quality for recommender RAG besides just checking whether the top result is correct?,9b0e2d6a47
How do people use an LLM as a judge to score the usefulness or relevance of RAG outputs end to end?,9b0e2d6a47
"For recommender-type search problems, why would NDCG be a better metric than hit rate?",9b0e2d6a47
What’s a practical way to chunk a huge PDF corpus without overthinking it?,6f2a8b3d10
Should I start with fixed token chunks or jump straight to LLM-based section splitting?,6f2a8b3d10
Is it worth generating a short summary for each chunk and using that for retrieval too?,6f2a8b3d10
"For legal or financial docs, do I really need BM25 plus dense search, or is dense enough?",6f2a8b3d10
"Which PDF-to-markdown tools are good before chunking, and when would I use pymupdf4llm, Docling, or GROBID?",6f2a8b3d10
"In the capstone project, what exactly counts as reproducible — do reviewers have to use my API keys or their own?",e5d8a2c761
What should I include so someone can clone my repo and rebuild the search index from scratch?,e5d8a2c761
"How do I handle secrets for the project — is a .env file okay, and what should go into .env.example?",e5d8a2c761
"Should I worry about reviewer costs when they run my project, and is it better to use a cheap model?",e5d8a2c761
"What do I need to pin or document for setup, like package versions, Python version, or Docker version?",e5d8a2c761
"Can I do the homework or final project in JavaScript, Go, Rust, or some other language instead of Python?",ea815eb858
"Is Python actually required for the assignments, or is it just the easiest option?",ea815eb858
"If I use a non-Python stack for the capstone, what kind of README or setup instructions do I need to include?",ea815eb858
"Will a project in Java, TypeScript, C#, R, or Scala be accepted, or does that make grading harder?",ea815eb858
"What are the expectations for installing and running the project on Windows, macOS, and Linux if I choose a language other than Python?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with old project submissions for this course?,930286278d
Can I check examples of previous LLM Zoomcamp projects somewhere?,930286278d
Do you have links to the 2024 and 2025 project repositories?,930286278d
I want to see what a good capstone project looks like — where can I find earlier submissions?,930286278d
Do I need to reserve my capstone project idea before I start?,897a350476
Should I announce my project topic somewhere before working on it?,897a350476
Can I ask for feedback on my project idea in Slack before I begin?,897a350476
Is it okay if my capstone idea is similar to a past project?,897a350476
"Do I need a unique project topic, or can I build my own version of something already done?",897a350476
Can I make my capstone project as a Telegram bot or WhatsApp bot instead of a web app?,7318a90b14
"Is there any required interface format for the project, or can I use a CLI, Slack app, or notebook too?",7318a90b14
"Do I need to stick to a specific way of exposing the project to users, or is it up to me?",7318a90b14
"Will the course teach me how to build the user interface for my project, or do I have to handle that myself?",7318a90b14
"As long as my capstone meets the evaluation rules, can I choose any interface I want for it?",7318a90b14
"What should I use to pull text out of PDFs for a RAG project, especially if the files are messy or scanned?",d8b28c47a0
Is there a recommended library for converting PDF documents into Markdown or JSON for RAG use?,d8b28c47a0
"If my PDFs are just images and don’t have selectable text, what OCR tool should I try?",d8b28c47a0
Can I use PyMuPDF or pymupdf4llm to extract text from documents for retrieval projects?,d8b28c47a0
What’s the best way to test different PDF text extraction tools before I choose one for my documents?,d8b28c47a0
"Can I use the workshop materials in my own capstone project, or is that not allowed?",d850a0e7ea
Is it okay to take what we learned in the dlt workshop and apply it to another project I’m doing?,d850a0e7ea
"Since dlt is open source, can I reuse the workshop content for something outside this workshop?",d850a0e7ea
"Could I use this for an MLOps Zoomcamp project, or is it meant only for this workshop?",d850a0e7ea
"If I want to build on the workshop ideas in my own work, can I just use them directly and ask questions later?",d850a0e7ea
How do I initialize a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to create a dlt filesystem-to-duckdb setup?,6bceeebf04
"If I want to start a fresh dlt project, what’s the init command?",6bceeebf04
How can I get a dlt project ready for filesystem loading into DuckDB?,6bceeebf04
What’s the quickest way to set up dlt when the source is a filesystem?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but it still says the table doesn't exist — what am I missing?",0407213397
"Does the `FileNotFoundError` mean I need to create the table manually, or is my pipeline name still wrong somewhere?",0407213397
"I updated part of my dlt pipeline for the homework, but opening the table fails. Could there still be an old `employee_handbook` setting left?",0407213397
"What should I check in my pipeline config if `db.open_table(""notion_pages___homework"")` throws an error about the table not existing?",0407213397
"Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main(), and how do I fix it?",e95bfafc0e
"In the dlt workshop, what table name should I open in line 3 if the notebook says the table doesn't exist?",e95bfafc0e
"My code crashes with db.create_table(notion_pages___homework, data) not found — which table should I use instead?",e95bfafc0e
Where should I change the table reference so the Notion homework table opens correctly in main()?,e95bfafc0e
"If the homework table error appears in the open-source data ingestion workshop, what exact db.open_table call should I use?",e95bfafc0e
How can I see all the tables in the database?,e394e6f738
Is there a method to list the table names in the DB?,e394e6f738
What do I call if I want to know which tables exist?,e394e6f738
How do I check the names of all tables in the database?,e394e6f738
Which function returns the tables currently in the db?,e394e6f738
Does dlt support ClickHouse or StarRocks connectors yet?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse or StarRocks?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks?,cd19f122f3
Why doesn't dlt include connectors for ClickHouse or StarRocks?,cd19f122f3
Is there a way to add ClickHouse or StarRocks support to dlt?,cd19f122f3
Why do I keep getting 401 Unauthorized when my notebook tries to call the Notion search API?,0dfba07ace
"Could this be a bad or expired Notion token, and how do I check if the access key still works?",0dfba07ace
What should I verify if the notebook says it doesn’t have secret access to api.notion.com/v1/search?,0dfba07ace
Is there a specific Notion API URL or permission setting that could cause this authorization error in dlt?,0dfba07ace
What are the first things to look at when Notion API authentication fails in my notebook?,0dfba07ace
"Why does my install keep pulling requests 2.28 when lancedb wants 2.32, and how do I force the newer one?",4b30b918bc
What’s the exact pip command to install requests from the GitHub release zip instead of the old PyPI version?,4b30b918bc
"If I get a 401 Client Error while setting this up, does it mean my key is wrong or access needs to be enabled?",4b30b918bc
How can I make sure pip uses requests v2.32.3 for this workshop instead of the default package version?,4b30b918bc
Is there a way to install requests straight from the source tag so the lancedb dependency stops failing?,4b30b918bc
Why am I getting 401 Unauthorized when I use my EU Logfire token?,46efd1088d
"Does an EU Logfire write token need a special base URL, or should logfire.configure() figure out the region itself?",46efd1088d
What should I check first if Logfire seems to be loading the wrong token from my .env file?,46efd1088d
"Could an old LOGFIRE_TOKEN in my shell be overriding the one from .env, and how do I fix that?",46efd1088d
Do I need to upgrade logfire or set LOGFIRE_BASE_URL manually to make an EU token work?,46efd1088d
